standings_type,last_updated,team_records_season,team_records_division_rank,team_records_league_rank,team_records_sport_rank,team_records_games_played,team_records_games_back,team_records_wild_card_games_back,team_records_league_games_back,team_records_spring_league_games_back,team_records_sport_games_back,team_records_division_games_back,team_records_conference_games_back,team_records_last_updated,team_records_runs_allowed,team_records_runs_scored,team_records_division_champ,team_records_division_leader,team_records_has_wildcard,team_records_clinched,team_records_elimination_number,team_records_elimination_number_sport,team_records_elimination_number_league,team_records_elimination_number_division,team_records_elimination_number_conference,team_records_wild_card_elimination_number,team_records_magic_number,team_records_wins,team_records_losses,team_records_run_differential,team_records_winning_percentage,team_records_wild_card_rank,team_records_wild_card_leader,team_records_team_id,team_records_team_name,team_records_team_link,team_records_streak_streak_code,team_records_streak_streak_type,team_records_streak_streak_number,team_records_league_record_wins,team_records_league_record_losses,team_records_league_record_ties,team_records_league_record_pct,team_records_records_split_records,team_records_records_division_records,team_records_records_overall_records,team_records_records_league_records,team_records_records_expected_records,league_id,league_link,division_id,division_link,sport_id,sport_link,round_robin_status,wins,losses,game_n,team
regularSeason,2026-09-10T02:01:26.529Z,2026,5,15,29,146,18.0,17.5,31.5,-,31.5,18.0,-,2026-09-10T02:01:26Z,664,591,FALSE,FALSE,TRUE,FALSE,E,E,E,E,E,E,NA,56,90,-73,.384,12,NA,108,Angels,/api/v1/teams/108,W2,wins,2,56,90,0,.384,,,,,,103,/api/v1/league/103,200,/api/v1/divisions/200,1,/api/v1/sports/1,false,56,90,146,Angels
regularSeason,2026-09-10T02:01:26.529Z,2026,1,5,12,146,-,-,13.5,-,13.5,-,-,2026-09-10T01:40:41Z,701,660,FALSE,TRUE,TRUE,FALSE,-,4,4,-,4,-,14,74,72,-41,.507,NA,NA,117,Astros,/api/v1/teams/117,L1,losses,1,74,72,0,.507,,,,,,103,/api/v1/league/103,200,/api/v1/divisions/200,1,/api/v1/sports/1,false,74,72,146,Astros
regularSeason,2026-09-10T02:01:26.529Z,2026,4,14,28,147,15.5,15.0,29.0,-,29.0,15.5,-,2026-09-09T21:25:45Z,828,641,FALSE,FALSE,TRUE,FALSE,1,E,E,1,E,E,NA,59,88,-187,.401,11,NA,133,Athletics,/api/v1/teams/133,W1,wins,1,59,88,0,.401,,,,,,103,/api/v1/league/103,200,/api/v1/divisions/200,1,/api/v1/sports/1,false,59,88,147,Athletics
regularSeason,2026-09-10T02:11:20.065Z,2026,4,7,14,147,15.0,1.0,15.0,-,15.0,15.0,-,2026-09-09T21:25:45Z,628,589,FALSE,FALSE,TRUE,FALSE,1,2,2,1,2,14,NA,73,74,-39,.497,4,NA,141,Blue Jays,/api/v1/teams/141,L1,losses,1,73,74,0,.497,,,,,,103,/api/v1/league/103,201,/api/v1/divisions/201,1,/api/v1/sports/1,false,73,74,147,Blue Jays
regularSeason,2026-09-10T02:25:51.154Z,2026,1,3,4,146,-,-,5.5,-,5.5,-,-,2026-09-10T01:54:05Z,560,668,FALSE,TRUE,TRUE,FALSE,-,11,11,-,11,-,13,85,61,108,.582,NA,NA,144,Braves,/api/v1/teams/144,L3,losses,3,85,61,0,.582,,,,,,104,/api/v1/league/104,204,/api/v1/divisions/204,1,/api/v1/sports/1,false,85,61,146,Braves
regularSeason,2026-09-10T02:34:21.745Z,2026,1,1,1,147,-,-,-,-,-,-,-,2026-09-10T02:34:20Z,570,742,FALSE,TRUE,TRUE,FALSE,-,-,-,-,-,-,5,91,56,172,.619,NA,NA,158,Brewers,/api/v1/teams/158,W3,wins,3,91,56,0,.619,,,,,,104,/api/v1/league/104,205,/api/v1/divisions/205,1,/api/v1/sports/1,false,91,56,147,Brewers
regularSeason,2026-09-10T02:34:21.745Z,2026,4,10,18,147,19.0,6.5,19.0,-,19.0,19.0,-,2026-09-09T22:32:55Z,680,668,FALSE,FALSE,TRUE,FALSE,E,E,E,E,E,8,NA,72,75,-12,.490,7,NA,138,Cardinals,/api/v1/teams/138,L3,losses,3,72,75,0,.490,,,,,,104,/api/v1/league/104,205,/api/v1/divisions/205,1,/api/v1/sports/1,false,72,75,147,Cardinals
regularSeason,2026-09-10T02:34:21.745Z,2026,2,5,7,147,10.0,+2.5,10.0,-,10.0,10.0,-,2026-09-10T02:34:21Z,652,780,FALSE,FALSE,TRUE,FALSE,5,6,6,5,6,-,NA,81,66,128,.551,2,TRUE,112,Cubs,/api/v1/teams/112,L4,losses,4,81,66,0,.551,,,,,,104,/api/v1/league/104,205,/api/v1/divisions/205,1,/api/v1/sports/1,false,81,66,147,Cubs
regularSeason,2026-09-10T01:55:06.588Z,2026,2,6,9,146,10.5,-,12.5,-,12.5,10.5,-,2026-09-10T01:55:06Z,644,646,FALSE,FALSE,TRUE,FALSE,7,4,4,7,4,-,NA,78,68,2,.534,3,TRUE,109,D-backs,/api/v1/teams/109,W4,wins,4,78,68,0,.534,,,,,,104,/api/v1/league/104,203,/api/v1/divisions/203,1,/api/v1/sports/1,false,78,68,146,D-backs
regularSeason,2026-09-10T01:55:06.588Z,2026,1,2,2,145,-,-,2.0,-,2.0,-,-,2026-09-09T16:35:35Z,558,714,FALSE,TRUE,TRUE,FALSE,-,15,15,-,15,-,7,88,57,156,.607,NA,NA,119,Dodgers,/api/v1/teams/119,W6,wins,6,88,57,0,.607,,,,,,104,/api/v1/league/104,203,/api/v1/divisions/203,1,/api/v1/sports/1,false,88,57,145,Dodgers
